video_id,title,video_url,thumbnail_url,publish_time,channel_title,status,created_at
dQw4w9WgXcQ,Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster),https://www.youtube.com/watch?v=dQw4w9WgXcQ,https://i.ytimg.com/vi/dQw4w9WgXcQ/mqdefault.jpg,2009-10-25,Rick Astley,active,2026-06-04 14:46:44
ALUoOoWpHJU,These Red Railings Changed the Whole House | 1857 Rowhome Renovation Week 89,https://www.youtube.com/watch?v=ALUoOoWpHJU,https://i.ytimg.com/vi/ALUoOoWpHJU/mqdefault.jpg,2026-04-20,Chris Hytha,active,2026-06-04 15:32:30
